name	id	nametype	recclass	mass (g)	fall	year	reclat	reclong	GeoLocation	Latitude	Longitude				
Battle Mountain	56133	Valid	L6	2900	Fell	1/1/12 0:00	40.66813	-117.18913		40.66813	-117.18913	2.9	"40.66813,-117.18913,2.9,"	"40.66813,-117.18913,2900,"	"40.66813,-117.18913,2900,"
Boumdeid (2011)	57167	Valid	L6	3599	Fell	1/1/11 0:00	17.17493	-11.34133		17.17493	-11.34133	3.599	"17.17493,-11.34133,3.599,"	"17.17493,-11.34133,3599,"	
Chelyabinsk	57165	Valid	LL5	100000	Fell	1/1/13 0:00	54.81667	61.11667		54.81667	61.11667	100	"54.81667,61.11667,100,"	"54.81667,61.11667,100000,"	
Sołtmany	53829	Valid	L6	1066	Fell	1/1/11 0:00	54.00883	22.005		54.00883	22.005	1.066	"54.00883,22.005,1.066,"	"54.00883,22.005,1066,"	
Sutter's Mill	55529	Valid	C	992.5	Fell	1/1/12 0:00	38.80389	-120.90806		38.80389	-120.90806	0.9925	"38.80389,-120.90806,0.9925,"	"38.80389,-120.90806,992.5,"	
Thika	54493	Valid	L6	14200	Fell	1/1/11 0:00	-1.00278	37.15028		-1.00278	37.15028	14.2	"-1.00278,37.15028,14.2,"	"-1.00278,37.15028,14200,"	
Tissint	54823	Valid	Martian (shergottite)	7000	Fell	1/1/11 0:00	29.48195	-7.61123		29.48195	-7.61123	7	"29.48195,-7.61123,7,"	"29.48195,-7.61123,7000,"	
Alkali Flat	55662	Valid	L5	28	Found	1/1/11 0:00	32.306	-108.9038		32.306	-108.9038	0.028	"32.306,-108.9038,0.028,"	"32.306,-108.9038,28,"	
Antelope	57455	Valid	H4	754	Found	1/1/12 0:00	40.90183	-118.54465		40.90183	-118.54465	0.754	"40.90183,-118.54465,0.754,"	"40.90183,-118.54465,754,"	
Anthony Gap	56391	Valid	L6	347.36	Found	1/1/11 0:00	32.00584	-106.56028		32.00584	-106.56028	0.34736	"32.00584,-106.56028,0.34736,"	"32.00584,-106.56028,347.36,"	
Benešov (a)	54854	Valid	LL3.5	9.72	Found	1/1/11 0:00	49.76667	14.63333		49.76667	14.63333	0.00972	"49.76667,14.63333,0.00972,"	"49.76667,14.63333,9.72,"	
Benešov (b)	54855	Valid	H5	1.54	Found	1/1/11 0:00	49.76667	14.63333		49.76667	14.63333	0.00154	"49.76667,14.63333,0.00154,"	"49.76667,14.63333,1.54,"	
Biduna Blowhole 002	54929	Valid	L4	13	Found	1/1/11 0:00	-31.03297	131.28547		-31.03297	131.28547	0.013	"-31.03297,131.28547,0.013,"	"-31.03297,131.28547,13,"	
Biduna Blowhole 003	54930	Valid	L6	0.4	Found	1/1/11 0:00	-31.01964	131.30394		-31.01964	131.30394	0.0004	"-31.01964,131.30394,0.0004,"	"-31.01964,131.30394,0.4,"	
